name,detail_slug,website_url,detail_url,description,last_seen_at
Sencilia,sencilia,https://sencilia.nl,https://lifecooperative.nl/en/members/sencilia,"Sencilia is an early-stage MedTech startup that was spun out of the University of Groningen. We specialize in micro and nanotechnology and are experts in developing bioinspired MEMS sensors. The mission of our company is to improve patient safety using our patent-pending MEMS sensor technology, and our first offering is an IV infusion flow monitoring device. Our smart hardware/software product will improve the safety of IV therapy, thereby enhancing patient outcomes and reducing healthcare costs associated with preventable adverse drug events.",2026-08-16T07:22:09.270806+00:00
Sensoniq BV,sensoniq-bv,,https://lifecooperative.nl/en/members/sensoniq-bv,Sensoniq BV | LIFE Cooperative EN menu Programs Human Capital LIFE Innovation Members Events News About us LIFE Cooperative Downloads Partners Team Contact EN NL EN EN close Programs Human Capital LIFE Innovation Members Events News About us LIFE Cooperative Downloads Partners Team Contact EN NL EN Back | Home Members Sensoniq BV Sensoniq BV,2026-08-16T07:22:09.270806+00:00
Spark Holland,spark-holland,https://www.sparkholland.com/,https://lifecooperative.nl/en/members/spark-holland,"More than thirty years of continuous innovation have established Spark Holland’s reputation as a leading provider of technology for online devices and systems, especially in the field of liquid sample introduction and online SPE.",2026-08-16T07:22:09.270806+00:00
SteriNoord,sterinoord,https://sterinoord.nl/,https://lifecooperative.nl/en/members/sterinoord,"SteriNoord is the Benelux's largest medical sterilization center, delivering safe, reliable, and high-quality reprocessing of medical instruments with state-of-the-art technology and expert professionals.",2026-08-16T07:22:09.270806+00:00
Symeres,symeres,https://symeres.com/,https://lifecooperative.nl/en/members/symeres,"Symeres is the leading mid-sized transatlantic Contract Research Organisation (CRO) for your drug discovery and development challenges. Our services cover the entire process, from identifying early-stage hits to the delivery of your early-stage clinical active pharmaceutical ingredient (API). We combine extensive scientific expertise with ingenuity to make significant strides on your behalf.",2026-08-16T07:22:09.270806+00:00
TS Vascular,ts-vascular,https://tsvascular.com,https://lifecooperative.nl/en/members/ts-vascular,"There is substantial preclinical evidence suggesting that sodium thiosulfate (STS) could be a potential and important chronic medication for the treatment of cardiovascular diseases (CVDs). To date, STS is only administered intravenously in cases of cyanide poisoning, to manage chemotherapy side effects, and off-label for calciphylaxis. An oral application has not yet been established, as existing tablet and liquid formulations have shown insufficient bioavailability. This invention involves a unique, inventive, and patented tablet formulation that allows STS to be administered orally in an effective and safe manner, enabling chronic treatment with STS. This has been demonstrated in vitro. The VFF plan represents the next step toward achieving proof of concept for STS as a treatment for CVDs through a clinical study in patients with Raynaud's syndrome.",2026-08-16T07:22:09.270806+00:00
Thermo Fisher,thermo,https://www.thermofisher.com/nl/en/home.html,https://lifecooperative.nl/en/members/thermo,"Thermo Fisher Scientific is the world leader in serving science. Our Mission is to enable our customers to make the world healthier, cleaner and safer. Whether our customers are accelerating life sciences research, solving complex analytical challenges, increasing productivity in their laboratories, improving patient health through diagnostics or developing and manufacturing life-changing medicines, we are here to support them.",2026-08-16T07:22:09.270806+00:00
Thermo Fisher,thermo-fisher,,https://lifecooperative.nl/en/members/thermo-fisher,Thermo Fisher | LIFE Cooperative EN menu Programs Human Capital LIFE Innovation Members Events News About us LIFE Cooperative Downloads Partners Team Contact EN EN EN close Programs Human Capital LIFE Innovation Members Events News About us LIFE Cooperative Downloads Partners Team Contact EN EN Back | Home Members Thermo Fisher Thermo Fisher,2026-08-16T07:22:09.270806+00:00
VDL Wientjes Roden,vdl-wientjes-roden-eng,https://www.vdlwientjesroden.nl/nl,https://lifecooperative.nl/en/members/vdl-wientjes-roden-eng,"We relieve high-tech companies by providing reliable, professional and flexible custom plastic solutions and services. Through our committed and innovative approach, we give our customers the space to continue excelling.",2026-08-16T07:22:09.270806+00:00
VRelax,vrelax,https://vrelax.com/,https://lifecooperative.nl/en/members/vrelax,"VRelax is a scientifically validated virtual reality app, specially developed for people with mental and physical health issues. It is a relaxation tool designed to combat stress, burnout, anxiety and low mood, as well as a distraction tool for pain, physical discomfort and medical procedures.",2026-08-16T07:22:09.270806+00:00
XVIVO,xvivo,,https://lifecooperative.nl/en/members/xvivo,"Founded in 1998, XVIVO is the only medical technology company dedicated to extending the life of all major organs so transplant teams around the world can save more lives. Our solutions allow leading clinicians and researchers to push the boundaries of transplantation medicine. XVIVO is a medical technology company with headquarter in Gothenburg, Sweden, a production site in Lund, Sweden and office in Groningen, The Netherlands and Denver, USA. We are firmly rooted in medical science and our core business is in ex vivo organ preservation. We are focused on developing optimized solutions for organ, tissue and cell preservation and perfusion in connection with transplantation. We have more than 20 years of experience within the transplant industry and are dedicated to providing more effective, clinically proven and innovative products that both increase the availability of acceptable donor organs and improve survival after transplantation.",2026-08-16T07:22:09.270806+00:00
